"NFGOVCOFOG_FUNCTION","Government function","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutional sector","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","TOT","Total government expenditure","S1300","General government","A","Annual","2017","2017",228985.8,,
"TOT","Total","TOT","Total government expenditure","S1311","Federal government","A","Annual","2017","2017",117088.4,,
"TOT","Total","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",85238.1,,
"TOT","Total","TOT","Total government expenditure","S1313","Local government","A","Annual","2017","2017",31273.8,,
"TOT","Total","TOT","Total government expenditure","S1314","Social security funds","A","Annual","2017","2017",93940.1,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1300","General government","A","Annual","2017","2017",9898.9,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1311","Federal government","A","Annual","2017","2017",989.2,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",5735.8,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1313","Local government","A","Annual","2017","2017",3096.1,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1314","Social security funds","A","Annual","2017","2017",77.8,,
"TOT","Total","D1","Compensation of employees (D.1)","S1300","General government","A","Annual","2017","2017",53971.3,,
"TOT","Total","D1","Compensation of employees (D.1)","S1311","Federal government","A","Annual","2017","2017",9449.6,,
"TOT","Total","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",25454.1,,
"TOT","Total","D1","Compensation of employees (D.1)","S1313","Local government","A","Annual","2017","2017",17439.5,,
"TOT","Total","D1","Compensation of employees (D.1)","S1314","Social security funds","A","Annual","2017","2017",1628,,
"TOT","Total","D3","Subsidies (D.3)","S1300","General government","A","Annual","2017","2017",14689.8,,
"TOT","Total","D3","Subsidies (D.3)","S1311","Federal government","A","Annual","2017","2017",4518.4,,
"TOT","Total","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",7541.9,,
"TOT","Total","D3","Subsidies (D.3)","S1313","Local government","A","Annual","2017","2017",657.9,,
"TOT","Total","D3","Subsidies (D.3)","S1314","Social security funds","A","Annual","2017","2017",1971.6,,
"TOT","Total","D4","Property income paid (D.4)","S1300","General government","A","Annual","2017","2017",10870.4,,
"TOT","Total","D4","Property income paid (D.4)","S1311","Federal government","A","Annual","2017","2017",9545.8,,
