"NFGOV_GOVTYPE","Government type","NFGOV_ITEM","Item","NFGOV_UNIT","Unit","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"S1300","General government","TOR","Receipts","E","Millions of euro","A","Annual","2014","2014",208746.6,,
"S1300","General government","TOR","Receipts","E","Millions of euro","A","Annual","2015","2015",211069.4,,
"S1300","General government","TOR","Receipts","E","Millions of euro","A","Annual","2016","2016",215198,,
"S1300","General government","TOR","Receipts","E","Millions of euro","A","Annual","2017","2017",225300.8,,
"S1300","General government","TOR","Receipts","E","Millions of euro","A","Annual","2018","2018",232880.4,,
"S1300","General government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2014","2014",180271.9,,
"S1300","General government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2015","2015",183260.1,,
"S1300","General government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2016","2016",185536.4,,
"S1300","General government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2017","2017",194376.3,,
"S1300","General government","1FP","Fiscal and parafiscal receipts","E","Millions of euro","A","Annual","2018","2018",201057.8,,
"S1300","General government","DTX","Direct taxes","E","Millions of euro","A","Annual","2014","2014",67108.2,,
"S1300","General government","DTX","Direct taxes","E","Millions of euro","A","Annual","2015","2015",67988.7,,
"S1300","General government","DTX","Direct taxes","E","Millions of euro","A","Annual","2016","2016",68753.4,,
"S1300","General government","DTX","Direct taxes","E","Millions of euro","A","Annual","2017","2017",73826.2,,
"S1300","General government","DTX","Direct taxes","E","Millions of euro","A","Annual","2018","2018",77071,,
"S1300","General government","DTX_I","Households","E","Millions of euro","A","Annual","2014","2014",53215.2,,
"S1300","General government","DTX_I","Households","E","Millions of euro","A","Annual","2015","2015",53015.7,,
"S1300","General government","DTX_I","Households","E","Millions of euro","A","Annual","2016","2016",52597.8,,
"S1300","General government","DTX_I","Households","E","Millions of euro","A","Annual","2017","2017",54385.4,,
